Year,Code      Age  Both sexes        Male      Female
1980,06    CA    9      367273      187411      179862
1980,06    CA   10      372284      190007      182277
1980,06    CA   11      359318      182987      176331
1980,06    CA   12      347789      177802      169987
1980,06    CA   13      354351      179964      174387
1980,06    CA   14      365231      186047      179184
1980,06    CA   15      389411      197772      191639
1980,06    CA   16      411836      210224      201612
1980,06    CA   17      425969      219034      206935
1980,06    CA   18      431944      222086      209858
1980,06    CA   19      467811      241718      226093
1980,06    CA   20      466294      242609      223685
1980,06    CA   21      466075      241698      224377
1980,06    CA   22      473925      244726      229199
1980,06    CA   23      483240      247400      235840
1980,06    CA   24      476722      243571      233151
1980,06    CA   25      473966      241705      232261
1980,06    CA   26      463436      235945      227491
1980,06    CA   27      456119      231223      224896
1980,06    CA   28      423157      214368      208789
1980,06    CA   29      447683      226751      220932
1980,06    CA   30      431594      217762      213832
1980,06    CA   31      416877      208567      208310
1980,06    CA   32      414326      207928      206398
1980,06    CA   33      438758      220291      218467
1980,06    CA   34      335119      168409      166710
1980,06    CA   35      334825      168066      166759
1980,06    CA   36      325281      162875      162406
1980,06    CA   37      336957      167929      169028
1980,06    CA   38      289109      144298      144811
1980,06    CA   39      284695      142763      141932
1980,06    CA   40      274500      136913      137587
1980,06    CA   41      258850      129551      129299
1980,06    CA   42      254405      127470      126935
1980,06    CA   43      243764      121085      122679
1980,06    CA   44      239942      119047      120895
1980,06    CA   45      234304      116935      117369
1980,06    CA   46      230614      114396      116218
1980,06    CA   47      230790      114405      116385
1980,06    CA   48      223809      111550      112259
1980,06    CA   49      241484      119798      121686
1980,06    CA   50      244190      120529      123661
1980,06    CA   51      233544      114585      118959
1980,06    CA   52      236431      114496      121935
1980,06    CA   53      237890      113602      124288
1980,06    CA   54      243423      115863      127560
1980,06    CA   55      244332      115507      128825
1980,06    CA   56      242317      115553      126764
1980,06    CA   57      241272      114880      126392
1980,06    CA   58      237658      113743      123915
1980,06    CA   59      235576      112875      122701
1980,06    CA   60      220956      105326      115630
1980,06    CA   61      206556       97526      109030
1980,06    CA   62      197366       93348      104018
1980,06    CA   63      189978       88717      101261
1980,06    CA   64      185945       86653       99292
1980,06    CA   65      184880       84891       99989
1980,06    CA   66      175481       79846       95635
1980,06    CA   67      168568       76077       92491
1980,06    CA   68      161223       72167       89056
1980,06    CA   69      153204       67308       85896
1980,06    CA   70      143035       62716       80319
1980,06    CA   71      135104       58439       76665
1980,06    CA   72      128254       54832       73422
1980,06    CA   73      118432       49874       68558
1980,06    CA   74      112077       46277       65800
1980,06    CA   75      104774       42741       62033
1980,06    CA   76       96782       38670       58112
1980,06    CA   77       89276       34801       54475
1980,06    CA   78       83381       31929       51452
1980,06    CA   79       77124       28807       48317
1980,06    CA   80       68929       25110       43819
1980,06    CA   81       61329       21496       39833
1980,06    CA   82       53744       18795       34949
1980,06    CA   83       50041       16677       33364
1980,06    CA   84       45267       14680       30587
1980,06    CA   85      220910       64957      155953
1980,08    CO    0       48819       24981       23838
1980,08    CO    1       44477       22851       21626
1980,08    CO    2       42483       21607       20876
1980,08    CO    3       42647       21902       20745
1980,08    CO    4       40742       20967       19775
1980,08    CO    5       41233       21124       20109
1980,08    CO    6       39958       20419       19539
1980,08    CO    7       41292       21115       20177
